池田樹雷人	Ikeda Tree Raito
诺维奇 纽约州	Norwich, New York
流體動力學	Hydrodynamics
北湖区	Beihu District
東南亞福建話	Southeast Asian Hokkien
蝙蝠俠 年電影	batman year movie
蒂姆 林斯肯	Tim Linsken
藍鴻震	Lan Hongzhen
石器時代女王	stone age queen
傅欢	Fu Huan
中华人民共和国全国运动会	National Games of the People's Republic of China
中國基督教	Christianity in China
毛福梅	Mao Fumei
弘仁	Hirohito
尾張旭市	Owari Asahi
推奴	Thunu
茅崎市	Chigasaki
寰宇國際	Universal International
雷特斯加體育場	Rettsgar Stadium
唐肅宗	Tang Suzong
希腊区域	Greek Region
奧本 新南威爾士	Auburn New South Wales
亞芬伯爵	Earl of Affin
白恩培	Bai Enpei
查尔斯 格雷 第二代格雷伯爵	Charles Grey 2nd Earl Grey
开尔文电桥	Kelvin bridge
素可泰王国	Sukhothai Kingdom
俄羅斯聯邦管區	District of the Russian Federation
董军	Dong Jun
aik足球會	aik football club
黃信介	Huang Xinjie
王國之心 hd re mix	kingdom hearts hd re mix
瑪格麗塔 西班牙公主	margarita spanish princess
佳貴妃	Jia Guifei
蘭德	Rand
莫斯科战役	Battle of Moscow
瓦西 里耶夫	Vasilyev
平安京	Heianjing
吉马良斯	Guimaraes
莫哈末英然	Mohd Ying Ran
陳駿瑩	Chen Junying
托马斯 汤森 第一代悉尼子爵	Thomas Townsend, 1st Viscount Sydney
约翰 沃尔普	John Volpe
luis chávez	luis chávez
法國總理列表	List of French Prime Ministers
經濟自由主義	economic liberalism
霍理林	Hollin
金亨溢	Kim Hyung-yi
超级马里奥兄弟	super mario bros
穋罕默德 迪亞拉	Mohammed Diarra
列倫特爾	Lirenter
蟲奉行	worm pursued
左翼黨 德國	leftist party germany
曾文郡	Zengwen County
松柏目	conifers
吉卜力工作室	Studio Ghibli
薛其坤	Xue Qikun
喀尔喀 布里亚特支系	Khalkha Buryatia branch
蔡頤榛	Cai Yizhen
卡纳塔克邦	Karnataka
陸荣廷	Lu Rongting
北九州市	Kitakyushu
墨西哥搖滾	mexican rock
迈阿密	Miami
马达加斯加	Madagascar
約翰內斯 布拉斯科維茨	Johannes Blaskovitz
伊斯蘭伊朗建設者聯盟	islamic iranian builders union
格里戈尔 姆加洛布利什维利	Grigor Mgaloblishvili
我是歌手 第四季	i am a singer season 4
寶鏡寺殿	Baojing Temple
艾度曉	Ai Duxiao
拉博特尼基足球俱乐部	Rabotniki Football Club
羅密歐 團體	romeo group
图灵奖	Turing Award
唐納德 法里什	Donald Farish
車庫搖滾	garage rock
藝術搖滾	art rock
納吉普足球俱樂部	Najeep Football Club
薛进文	Xue Jinwen
牽牛花開的日子	morning glory days
古斯塔夫 施特雷澤曼	Gustav Stresemann
伊莉莎白 門羅	Elizabeth Monroe
武吉加里尔国家体育场	Bukit Jalil National Stadium
黄现璠	Huang Xianfan
江阴长江大桥	Jiangyin Yangtze River Bridge
羅范椒芬	Luo Fanjiaofen
哈罗德 亚历山大 第一代突尼斯的亚历山大伯爵	Harold Alexander, 1st Count of Alexander of Tunisia
莉莎 寇利斯	Lisa Collis
呼和浩特体育局	Hohhot Sports Bureau
迪加高爾	digagall
季布	Jibu
布罗姆利足球俱乐部	Bromley Football Club
卢基乌斯 塔奎尼乌斯 苏培布斯	Lucius Tarquinius Superbus
藤里町	Fujisato
朝鲜大学	Chosun University
阿訥西體育公園	Annecy Sports Park
埃諾的菲利帕	Philippa of Hainaut
特奥多尔 杜米特鲁 斯托洛然	Theodore Dumitru Stolojan
热利科 科姆希奇	Zeliko Komsic
伍卓賢	Wu Zhuoxian
李文舜	Li Wenshun
旗艦大學	Flagship University
天主教母佑會蕭明中學	Siu Ming Secondary School
阿尔勒 阿维尼翁田径俱乐部	Arles Avignon Athletics Club
蒂姆 克魯爾	Tim Cruel
何塞 圣马丁	Jose San Martin
卢顿	Luton
邦比球场	Bumby Stadium
德意志之歌	Deutsches Song
伯格	Berg
電子業	Electronics industry
刘华清	Liu Huaqing
蔡细历	Cai Xili
朗芮區政府	Longray District Government
詹筆涵	Zhan Bihan
黎彼得	Peter Li
辽宁青年队	Liaoning Youth Team
安藤氏	Ando
米爾頓鎮區 巴特勒縣	Milton Township Butler County
珍阿都拉	Jane Abdullah
馬來亞独立日	Malayan Independence Day
溫哥華白帽足球會	Vancouver Whitecaps Football Club
哈萨克斯坦共产党	Communist Party of Kazakhstan
山本康平	Yamamoto Yasuhira
珍妮弗 赫德森	Jennifer Hudson
穆尔萨林 达恩 马芒翁	Mulsarin Dahn Mamanwon
副总统	vice-president
伊拉克库尔德斯坦总统	President of Iraqi Kurdistan
凡尔赛条约	Treaty of Versailles
辽河	Liaohe
不丹王室金融管理局	Royal Monetary Authority of Bhutan
费代丽卡 莫盖里尼	Federica Mogherini
卡尔马联合	Kalmar United
黑塔vi 蘇珊娜之歌	Black Tower vi Susannah Song
埃斯科 阿霍	esco ajo
李文君	Li Wenjun
山东滕鼎足球俱乐部	Shandong Tengding Football Club
圣但尼	Saint Denis
哈里发	caliph
約翰 霍克斯	John Hawkes
约翰 博纳姆	John Bonham
石景山区	Shijingshan District
馬特斯堡體育會	Mattersburg Sports Association
瑪麗蓮 曼森	Marilyn Manson
學校的階梯 電視劇	School Ladder TV Series
寮語	Lao
有原栞菜	Arihara mustard greens
莎阿南	Shah Alam
田中誠太	Tanaka Seita
葡萄牙市鎮列表	List of cities and towns in Portugal
反恐	Anti-terrorism
紐伯里 英國國會選區	Newbury UK parliamentary constituency
标准画质电视	standard picture quality TV
美国东南部	Southeastern United States
王祖藍	Wong Cho-lam
利尼史特朗市	Liny Strong
alexis sánchez footballer	alexis sánchez footballer
李石保	Li Shibao
佐加頓斯體育會足球隊	Zogardens Athletic Association football team
凱莉 克萊森	Kelly Clayson
切斯特伯爵	Earl of Chester
约翰 斯图亚特 穆勒	John Stuart Mueller
吴超	Wu Chao
胡適	Hu Shi
阇耶跋摩二世	Jayavarman II
阿歷士 拉菲爾	Alex Raphael
阿根廷青年	Argentine youth
松山線	Songshan Line
位移电流	displacement current
海軍中將	Vice Admiral
葉蘊儀	Ye Yunyi
路德维希 恩斯特 安德烈阿斯 黑森 达姆施塔特	Ludwig Ernst Andreas Hesse Darmstadt
缅甸	Myanmar
亚历山大 阿利耶夫	Alexander Aliyev
脊索动物	chordate
拉珈语	Laga
羅漢柏	Luo Hanbai
查爾斯 赫爾姆斯	Charles Helms
埃布羅克斯球場	Ebrox Stadium
星悅航空	Star Joy Airlines
萨拉曼卡省	Salamanca Province
絲島市	Itoshima
海科 冯德莱恩	Heiko von der Leyen
逆轉經脈	reverse meridian
岡本知剛	Tomoka Okamoto
金雪松	golden cedar
卡雷纳斯	Carenas
善光寺	Zenkoji Temple
湯姆 派洛索	Tom Paloso
約克大學 英國	York University UK
符合方法	compliance method
伊朗足球協會	iranian football association
阿列克谢 尼古拉耶维奇 柯西金	Alexei Nikolaevich Kosygin
洛桑大学	University of Lausanne
芭芭拉 庫班	Barbara Cuban
恩維加多足球會	Envigado Football Club
联合力量作战	joint force operations
翁鈐	Weng Qian
越南独立同盟	vietnamese independence alliance
德国足球地区联赛	German Football Regional League
托多尔 日夫科夫	Todor Zhivkov
.kg	.kg
準噶爾汗國	Dzungar Khanate
美國住房及城市發展部	U.S. Department of Housing and Urban Development
约翰 克里滕登	John Crittenden
雪梨	Sydney
敦子女王	Queen Atsuko
蔡碩哲	Cai Shuozhe
马来西亚下议院	Malaysian House of Representatives
威塞克斯伯爵夫人蘇菲	Sophie, Countess of Wessex
埃斯特雷拉	Estrela
妖夜尋狼 血姬覺醒	Monster Night Hunting Wolf, Blood Princess Awakens
共产主义	communism
文斯 麥馬漢	Vince McMahan
環球音樂 台灣	Universal Music Taiwan
話語倫理學	discourse ethics
狄恩 海勒	Dean Heller
庫德最高委員會	Kurdish Supreme Council
八德區	Bade District
瑪麗亞 凱莉	Mariah Carey
佩爾 施泰因布呂克	Pell Steinbrück
东姑莫哈末依斯迈	Tunku Mohd Ismail
花吃了那女孩	flower ate the girl
天平感宝	Balance sense treasure
迪诺 格兰迪	Dino Grandi
企鹅经典丛书	Penguin Classics
普理赫	Prich
亨利三世 法兰西	Henry III of France
帕特里克 萊希	Patrick Leahy
法托斯 纳诺	Fatos Nano
紫色	Purple
廖啟智	Liao Qizhi
加藤秀典	Hideno Kato
堪薩斯城 堪薩斯州	Kansas City Kansas
圣乔治教堂	St George's Church
曼尼普尔语	Manipur
貞昭公主	Princess Zhenzhao
查爾斯 達爾文	Charles Darwin
教育總監	Director of Education
賈汗達爾	Jahandar
双头鹰	double headed eagle
俄罗斯帝国	Russian Empire
田鍋陵太	Tian Guo Lingtai
胡海清	Hu Haiqing
麥振瑋	Mai Zhenwei
鄺其志	Kwong Qizhi
歐力士野牛	Orix Bison
樺山資紀	Huashan Ziji
阿尔卑斯造山运动	Alpine orogeny
克拉克福克河	Clark Fork River
賴麗琴	Lai Liqin
伊萬諾維奇	Ivanovic
強納森 列瑟	Jonathan Lesser
德国总理府	German Chancellery
安德烈斯 伊涅斯塔	Andres Iniesta
沃帕科内塔	wapakoneta
魏孝静帝	Emperor Wei Xiaojing
公立常春藤	public ivy
谢哈布丁 艾哈迈德	Shehabuddin Ahmed
黎維禕	Li Weiyi
拉丁字母	Latin alphabet
奥胡斯体操协会俱乐部	Aarhus Gymnastics Association Club
亚洲杯	Asian Cup
马拉松体育俱乐部	Marathon Sports Club
爱德华三世 英格兰	Edward III England
耶日 布泽克	Jerzy Buzek
中华民国临时政府	Provisional Government of the Republic of China
一宮市	Ichinomiya
瑪喬麗 倫德爾	Marjorie Rendall
arbëresh language	arbëresh language
安東尼 阿爾巴尼西	Anthony Albanisi
尤金 丹尼斯	Eugene Dennis
梵蒂冈	Vatican
斯洛文尼亚总理列表	List of Prime Ministers of Slovenia
金惠敬	Kim Hye-kyung
康藝成音唱片	Kang Yi Chengyin Records
寧平凱撒水泥足球俱樂部	Ninh Binh Kaiser Cement Football Club
唐纳	Donner
青葉區 橫濱市	Aoba Ward Yokohama City
戴东昌	Dai Dongchang
未劃定遠西地區	Undemarcated Far West
中部地方	central place
湖岩奖	Lake Rock Award
横江	Yokoe
相模原體育會	Sagamihara Sports Association
克里斯蒂安 谢泼德	Christian Shepard
加利福尼亚湾	gulf of california
梁文博	Liang Wenbo
自由思想	free thought
kyōto japan	kyōto japan
斯拉沃熱 齊澤克	Slavoj Žižek
雷蒙 普恩加萊	Raymond Poengale
幸福摩天輪	Happy Ferris Wheel
蒲樹林	Pu Shulin
區檢察長	District Attorney
费迪南多 玛利亚 两西西里	Ferdinando Maria Two Sicilies
柯尊平	Ke Zunping
劳里 英格曼	Laurie Engman
玉林市	Yulin City
塞内帕河战争	Senepa River War
傳記	biography
天體力學	celestial mechanics
參議院多數黨領袖	Senate Majority Leader
菲利普 久里什	Philip Djurish
曼努埃尔 乌鲁亚蒂	Manuel Uluarti
上田雅美	Ueda Masami
林正益	Lin Zhengyi
長和	Changhe
教会之母隐修院	monastery of the mother of the church
貴族院	House of Lords
卡路士 盧基	Calus Luckey
他們的世界	their world
朱麗安娜女王	queen juliana
諾爾 費雪	Noel Fisher
森美亞	Semeria
西斯都四世	Sixtus IV
印尼宣布獨立	Indonesia declares independence
匈牙利君主列表	List of Hungarian monarchs
西班牙市鎮列表	List of towns in Spain
安羅科薩斯法馬古斯塔足球會	Anroxas Famagusta Football Club
湘南土话	Shonan dialect
爱德华 雷兹 希米格维	Edward Raiz Shimigvi
蒂米什瓦拉足球俱樂部	timisoara football club
弗拉穆尔 诺卡	Framur Norka
偏鋒雜誌	Bias Magazine
北京理工大学附属中学	The High School Affiliated to Beijing Institute of Technology
史釗域	Shi Zhaoyu
鮑里斯 帕斯捷爾納克	Boris Pasternak
熊本縣	Kumamoto Prefecture
桑坦德	Santander
超級任天堂	super nintendo
超級星光大道 第六屆	Super Walk of Fame 6th
亨利 本尼迪克特 斯图亚特	Henry Benedict Stuart
韩华集团	Hanwha Group
斯图尔特 佩特曼	Stuart Patman
安倍晋太郎	Abe Shintaro
拿破仑三世	Napoleon III
法兹诺	Fazno
美拉尼西亚	Melanesia
曹叡	Cao Rui
大韓民國教育部	Ministry of Education of the Republic of Korea
瑞士 岁以下国家足球队	Switzerland under-year national football team
nh 直升机	nh helicopter
寿安固伦公主	Princess Shou'an Gu Lun
維托爾德 福金	Witold Fokin
云阳长江大桥	Yunyang Yangtze River Bridge
新加坡武裝部隊	Singapore Armed Forces
威廉與瑪麗學院	College of William and Mary
德川良子	Tokugawa Ryoko
马丁 波拉切克	Martin Polacek
布宜诺斯艾利斯省	Province of Buenos Aires
埃塞俄比亚总理	Prime Minister of Ethiopia
边涛	Bian Tao
火線獵殺系列	FireWire Hunting Series
德葩大学	Depa University
中南大学	Central South University
奥巴费米 马丁斯	Obafemi Martins
亚瑟 爱丁顿	Arthur Eddington
阿基坦國王	King of Aquitaine
南开大学	Nankai University
德铁网络	Deutsche Bahn
比利 阿姆斯特朗	Billy Armstrong
阿爾圖爾 博魯茨	Artur Boruc
查理十世 法蘭西	Charles X of France
多米尼加披索	Dominican Peso
国家副主席	National Vice-President
边后卫	full back
行方市	Xingfang City
阿爾及利亞銀行	Bank of Algeria
潮州話拼音方案	Teochew Pinyin Project
留守 官职	stay in office
约翰 麦克杜格尔	John McDougall
宣統	Xuantong
许景杰	Xu Jingjie
穆罕默德 阿里 阿比德	Muhammad Ali Abid
土耳其祖国党	Turkish Fatherland Party
保加利亚总统	President of Bulgaria
西伊比利亞語	West Iberian
斯巴達克坦波夫	Spartak Tambov
乔什 拉德诺	Josh Radnor
世取山宏秋	Setoriyama Hiroaki
完顏洪烈	Wanyan Honglie
胡安 贝拉斯科 阿尔瓦拉多	Juan Velasco Alvarado
克里夫蘭騎士	cleveland cavaliers
泰陵	Tailing
格拉尼特縣 蒙大拿州	Granite County, Montana
迪迪亚尔 比尔亚莱特迪诺夫	Didier Biryalet Dinov
宁阳县	Ningyang County
澳洲 national under football team	australia national under football team
星城	star city
先进统一党	advanced unity party
鄭詠曦	Zheng Yongxi
馬迪亞斯 韋治文	Mathias Wedgeman
胡朝	Hu Chao
踢拳	kick boxing
曼迪尤足球俱樂部	Mandiu Football Club
路易丝公主 丹麦	princess louise denmark
李文龍 助理編導	Li Wenlong Assistant Director
原由子	Yuan Yuko
智利天主教大学	catholic university of chile
比安弗尼 马坦	Bianferni Martan
錢胡美琦	Qian Hu Meiqi
巴塞尔大学	University of Basel
凯文 约翰逊	Kevin Johnson
霍安 馬蒂 艾拉尼斯	Joan Marty Alanis
蔓常在	always present
科特布斯足球俱樂部	Cottbus Football Club
松江南京站	Songjiang Nanjing Railway Station
皇家馬略卡體育會	Real Mallorca Athletic
路易莎 玛丽亚公主	Princess Louisa Maria
六條天皇	Emperor Rokujo
none 切斯特頓	none chesterton
赤坎区	Chikan District
龙井市	Longjing
巴赫贝克	Bachback
杨开智	Yang Kaizhi
北風暴足球會	north storm football club
戴夫 马斯泰恩	Dave Mustaine
金在成	Kim Jae-sung
空中客车集团	Airbus Group
柳州远道	Liuzhou far
官景辉	Guan Jinghui
朱塞佩 萨拉盖特	Giuseppe Salagate
薩德體育俱樂部	Sade Sports Club
加尔各答市政法团	Calcutta Municipal Corporation
罗兰 麦克尼尔 第一代卡申登男爵	Roland McNeill, 1st Baron Casshendon
晋妃	Jin Fei
成人抒情	adult lyric
广岛县旗	Flag of Hiroshima Prefecture
谢尔盖 布林	Sergey Brin
黑田高政	Takamasa Kuroda
亨利四世 英格蘭	Henry IV England
小林義明	Kobayashi Yoshiaki
鮑偉華	Bao Weihua
小寺優輝	Kodera Yuki
施皮森 埃尔费尔斯贝尔格	Spiessen Elfelsberg
方靖仁	Fang Jingren
林義雄	Lin Yixiong
维尔海姆 布尔	Wilhelm Boer
福岛县旗	Fukushima prefecture flag
紹斯波特	Southport
戴夫 戈德堡	Dave Goldberg
集宁区	Jining District
羅馬體育俱樂部	Roma Sports Club
南美洲	South America
結構理論	structural theory
秦皇岛市奥体中心体育场	Qinhuangdao Olympic Sports Center Stadium
扎马莱克体育俱乐部	Zamalek Sports Club
福斯星空工作室	Fox Star Studio
泰東陵	Tai Dong Mausoleum
德谟克利特	Democritus
沙亞	Shaya
波兰军队总参谋部	Polish Army General Staff
沃尔夫斯堡	Wolfsburg
古吉特拉邦	Gujarat
太平讷	Taiping
杰弗里	Jeffrey
胜利勋章	Medal of Victory
none 博特定理	none Botter theorem
金正淑	Kim Jung-sook
蒙特雷縣	Monterey County
卡拉馬塔	Kalamata
比利时的博杜安	Baudouin in Belgium
科爾內拉 埃爾普拉特球場	Cornera El Prat Stadium
桑坦德 西班牙	Santander Spain
森田刚	Takeshi Morita
薩米特鎮區 堪薩斯州馬里昂縣	Summit Township Marion County, Kansas
詹森 艾克尔斯	Jason Eccles
皮里 穆罕默德帕夏	Piri Muhammad Pasha
类班图语支	Bantu-like
橫衝直撞系列	Rampage Series
哈桑 魯哈尼	Hassan Rouhani
杨梅	bayberry
彼得 克里斯蒂安 克努德森	Peter Christian Knudsen
龙湖区	Longhu District
馬哈地 賈馬	Mahathir Jama
約翰 詹姆斯 奧杜邦	John James Audubon
片桐順一郎	Katagiri Junichiro
萨莫拉 马谢尔	Zamora Machel
公民不服從	civil disobedience
湖內區	Lake District
巨蟹座	Cancer
鄧偉傑	Deng Weijie
竹敷要港部	Takeshiki Kaname Port Department
沃爾夫數學獎	Wolfe Mathematics Prize
德川庆喜	Tokugawa Keiki
文蘭 紐芬蘭	Vinland Newfoundland
非都市区	non-metropolitan area
阿尔缅 萨尔基相	Armand Sarkisian
迪沃克 奥里吉	Divock Origi
管城回族区	Guancheng Hui District
海潤影視	Hairun Film and Television
創辦人	founder
高夫巴	Goffba
合聲	Chorus
约翰 冯诺依曼奖	John Von Neumann Prize
阿加菲娅 谢苗诺夫娜	Agafia Semenovna
胡启恒	Hu Qiheng
奧古斯塔號重巡洋艦 ca	USS Augusta heavy cruiser ca
约翰 卡莱尔	John Carlisle
吕克 伊吕西	Luc Ilyusi
鍾鎮濤	Zhong Zhentao
陳志江	Chen Zhijiang
德国总参谋部	German General Staff
聖莫尼卡	Santa Monica
日耳曼尼库斯	Germanicus
久我誓圓	long i swear
谢讷堡	cheneburg
扎拉 菲利普斯	Zara Phillips
天主教清州教區	Catholic Diocese of Cheongju
貝迪克斯	Bedix
加利福尼亚州行政区划	Administrative divisions of California
