ロック (音楽)	rock (music)
マーク・ロンソン	Mark Ronson
ビーバーダム・クリークの戦い	Battle of Beaver Dam Creek
アンドレイ・コルモゴロフ	Andrei Kolmogorov
フィアレス・レコード	fearless record
アクロス・ザ・ユニバース	Across the Universe
レフ・トロツキー	Leon Trotsky
クレイ郡 (ウェストバージニア州)	Clay County, West Virginia
ヘンリー・ブルース (初代アバーデア男爵)	Henry Bruce, 1st Baron Aberdare
ダッチェス郡 (ニューヨーク州)	Dutchess County, New York
坂本英三	Eizo Sakamoto
ボックスエルダー郡 (ユタ州)	Box Elder County, Utah
エドワード・ダグラス・ホワイト	Edward Douglas White
ライアン・テダー	Ryan Tedder
ハルビン市	Harbin City
ノーバディ・トールド・ミー	Nobody Told Me
マーシャル郡 (ミシシッピ州)	Marshall County (Mississippi)
メスタリリーガ	mestaliliga
アピシット・ウェーチャチーワ	Abhisit Wechachiwa
ブラー (アルバム)	Blur (album)
アル・クウェートsc	Al Kuwait sc
ウルグアイ	Uruguay
ピッカウェイ郡 (オハイオ州)	Pickaway County, Ohio
ジェファーソン郡 (ウィスコンシン州)	Jefferson County, Wisconsin
バーンリーfc	burnley fc
ホーム・ユナイテッド	home united
ウィリアム・ノーランド	William Noland
ロニーゴ	Lonigo
遙かなる影 (アルバム)	Harukanaru Kage (Album)
ゲンナジー・ヤナーエフ	Gennady Yanaev
イェスー	yes
ジョン・ターナー	John Turner
アレクセイ・ソコロフ	Alexei Sokolov
マルコム・ヤング	Malcolm Young
ジャン (ルクセンブルク大公)	Jean (Grand Duke of Luxembourg)
bingo!	bingo!
プリンス・アブドゥッラー・アル・ファイサル・スタジアム	Prince Abdullah Al Faisal Stadium
モロッコ	Morocco
スポルティング・カンザスシティ	Sporting Kansas City
シティ・オブ・サンダーランド	city ​​of sunderland
ウィリアム・j・ペリー	William J. Perry
メタルギアソリッドv	metal gear solid v
カナダ国王	king of canada
マフムード・ジブリール	Mahmoud Jibril
スターゲイト (プロダクション・チーム)	Stargate (Production Team)
佐藤寿人	Hisato Sato
トマス・マッキーン・トンプソン・マッケナン	Thomas McKean Thompson McKennan
イアン・ギラン	Ian Gillan
マールワーリー語	Marwari
リック・メアーズ	Rick Mears
ディクソン郡 (テネシー州)	Dixon County, Tennessee
オートラックス	autotrax
ウクライナ正教会・キエフ総主教庁	Ukrainian Orthodox Church and Patriarchate of Kyiv
ブルーノ・マーズ	Bruno Mars
フォーサイス郡 (ジョージア州)	Forsyth County, Georgia
ホプキントン (ロードアイランド州)	Hopkinton (Rhode Island)
ハサン・ロウハーニー	Hassan Rouhani
ヴィルヘルム・フォン・フンボルト	Wilhelm von Humboldt
maemo	maemo
m・a・z・e	m・a・z・e
ギルバート・エリオット＝マーレイ＝キニンマウンド (第2代ミントー伯爵)	Gilbert Elliot-Murray-Kinnymound, 2nd Earl of Minto
ケイレブ・クッシング	Caleb Cushing
ニューキャッスル郡	newcastle county
ジョン・アンダーソン (音楽家)	Jon Anderson (musician)
タリスマン (バンド)	Talisman (band)
チャイナ・ガール	china girl
ナイトフォール	nightfall
ライラ (オアシスの曲)	Lyra (Oasis song)
黒夢	black dream
チャム族	Cham people
ピッツバーグ大学	University of Pittsburgh
クレイ郡 (カンザス州)	Clay County, Kansas
クリスタル・パレスfc	crystal palace fc
東京都第25区	25th Ward, Tokyo
セントルイス・カージナルス	St. Louis Cardinals
古イタリア文字	old italian letters
ウィリアムズ・fw15c	williams fw15c
アレンカ・ブラトゥシェク	Alenka Bratusek
ユチョン	Yoochun
aaa (音楽グループ)	aaa (music group)
good luck my way	good luck my way
モンロー郡 (ウェストバージニア州)	Monroe County (West Virginia)
ジョージア・ホワイト	Georgia White
マリア・ルイーゼ・フォン・ハノーファー	Maria Luise von Hannover
タイム・ワーナー	time warner
小川敏夫	Toshio Ogawa
スピード アップ/ガールズ パワー	Speed ​​Up/Girls Power
オランダ領アンティル	Netherlands Antilles
グラハム・ボネット	Graham Bonnet
ボリス・パイチャーゼ・スタジアム	Boris Paichase Stadium
アトラス v	atlas v
モスクワ大公国	Grand Duchy of Moscow
ハンプシャー郡 (ウェストバージニア州)	Hampshire County (West Virginia)
game (flowのアルバム)	game (flow album)
ブラジルポルトガル語	Brazilian Portuguese
ブルターニュ公国	Duchy of Brittany
ufc 42	ufc 42
ハドソン (ニューハンプシャー州)	Hudson (New Hampshire)
デヴィッド・シルヴィアン	David Sylvian
ウラジスラフ・ゾフニルスキー	Vladislav Zohnirsky
ラヴ・ガン	love gun
福元洋平	Youhei Fukumoto
酒井高徳	Takanori Sakai
リッキー・ネルソン	Ricky Nelson
スターキングダム	star kingdom
ナッシュビル・サウンド	nashville sound
ジェームズ・バトラー (初代オーモンド公)	James Butler (1st Duke of Ormonde)
スリップアンカー	slip anchor
ギャラティン郡 (モンタナ州)	Gallatin County, Montana
ルドルフ・シェンカー	Rudolf Schenker
ソユーズtma-5	soyuz tma-5
クック郡 (イリノイ州)	Cook County, Illinois
ヴィルヘルム・マルクス	Wilhelm Marx
ジル・パニッツィ	Jill Panizzi
ソロモン諸島	solomon islands
藤沢市	Fujisawa City
アンゲロス・バシナス	Angelos Basinas
ガブリエル・マルセル	Gabriel Marcel
ダウン (バンド)	down (band)
コマルカ・デ・ビーゴ	Comarca de Vigo
菊岡拓朗	Takuro Kikuoka
ラッシュ (バンド)	rush (band)
ロクサーヌ	Roxanne
愛という名の欲望	a desire called love
sts-105	sts-105
ジャン＝イヴ・ル・ドリアン	Jean-Yves Le Drian
ガーディアンズ4	Guardians 4
ルンディ語	Rundi
ナンバー・ワンズ (マイケル・ジャクソンのアルバム)	Number Ones (Michael Jackson album)
モーガン郡 (ウェストバージニア州)	Morgan County (West Virginia)
ヨハン・クライフ	Johan Cruyff
ウォルフガング・シュッセル	Wolfgang Schussel
マウリツィオ・ドミッツィ	Maurizio Domizzi
オクサナ・カザコワ	Oksana Kazakova
タイガ (ラッパー)	Taiga (rapper)
厚木市	Atsugi City
キーン・ジョンソン	keenen johnson
a noble was born in chaos	a noble was born in chaos
アンドリュー・ウッド	Andrew Wood
スコーネ地方	Skåne region
ブラントーム	Brantome
マルボロ郡 (サウスカロライナ州)	Marlborough County, South Carolina
キングダム ハーツ シリーズ	Kingdom Hearts series
ダラス郡 (アラバマ州)	Dallas County, Alabama
アルバート・ゴンザレス	Albert Gonzales
アンソニー・レイク	Anthony Lake
タラール1世	Talal I
ロイド・ベンツェン	Lloyd Bentsen
オレグ・コノネンコ	Oleg Kononenko
アリーヤ	Aaliyah
トリアノン条約	Treaty of Trianon
ローデシア・ニヤサランド・ポンド	Rhodesian Nyasaland Pound
ペーター・スローターダイク	peter slaughterdijk
ロバート・ダニエル・マーフィー	robert daniel murphy
ペスティレンス	Pestilence
パナマ	Panama
オグール語群	Oghul language group
ウィンガー (バンド)	Winger (band)
第8師団 (日本軍)	8th Division (Japanese Army)
パフタコール・マルカジイ・スタジアム	Pakhtakor Markaziy Stadium
永田亮太	Ryota Nagata
呉語	Wu language
ポコ (バンド)	poco (band)
ケビン・ラッド	Kevin Rudd
ブッチ・ウォーカー	butch walker
ウォルター・モンタギュー・ダグラス・スコット (第5代バクルー公爵)	Walter Montague Douglas Scott, 5th Duke of Buccleuch
シティ・オブ・プレストン	city ​​of preston
カザラーノ	Casarano
ウップランド地方	uppland
ジョーン・モンデール	Joan Mondale
フランシスコ・フランコ	Francisco Franco
ウォルワース郡 (サウスダコタ州)	Walworth County, South Dakota
シティ・オブ・リーズ	city ​​of leeds
スクラッチ・アシッド	scratch acid
クイーンズ大学ベルファスト	Queen's University Belfast
ジョン・ブキャナン・フロイド	John Buchanan Floyd
ノヴィ・サド	Novi Sad
リチャード・アーミテージ	Richard Armitage
野澤洋輔	Yousuke Nozawa
クリスチアーノ・ダ・マッタ	Cristiano da Matta
マディソン郡 (モンタナ州)	Madison County, Montana
ガリシア民族主義ブロック	Galician Nationalist Bloc
ナポレオン戦争	napoleonic wars
ジェリコ・コムシッチ	Jericho Komsic
toheart2	toheart2
チャールズ・ジョセフ・ボナパルト	Charles Joseph Bonaparte
パルミーロ・トリアッティ	Palmiro Togliatti
ミシェル・ウィリアムズ (歌手)	Michelle Williams (singer)
リチャード・ウィルソン・ライリー	Richard Wilson Riley
ライマン郡 (サウスダコタ州)	Lyman County, South Dakota
can you celebrate%3f	can you celebrate%3f
ケント郡 (メリーランド州)	Kent County, Maryland
トミー・リピューマ	Tommy LiPuma
サセックス郡 (バージニア州)	Sussex County, Virginia
x&y	x&y
the revenant choir	the revenant choir
中村太亮 (サッカー選手)	Taisuke Nakamura (soccer player)
ボストン大学	Boston University
パプアニューギニア	Papua New Guinea
スヌークス・イーグリン	Snooks Eaglin
ビジャレアル	Villarreal
ガーフィールド郡 (コロラド州)	Garfield County, Colorado
ラーズ	Lars
ウォーニング (曲)	Warning (song)
ブキャナン郡 (アイオワ州)	Buchanan County, Iowa
apple a7	apple a7
サクソン	Saxon
群馬県第5区	Gunma Prefecture 5th Ward
ラナシンハ・プレマダーサ	Ranasingha Premadasa
ジャイアンツ・スタジアム	Giants Stadium
スティーブニッジ	Stevenage
フランス共産党	French Communist Party
d.c. ユナイテッド	d.c. united
ジャージーシティ	jersey city
craving	craving
エリナー・リグビー	Eleanor Rigby
マディソン郡 (ミズーリ州)	Madison County, Missouri
小澤英明	Hideaki Ozawa
イースト・サセックス	east sussex
リタ・クーリッジ	Rita Coolidge
クロスリー・フィールド	crossley field
ニューケント郡 (バージニア州)	New Kent County, Virginia
ウォリアーズfc	warriors fc
サリー郡 (バージニア州)	Surrey County, Virginia
シャームキー文字	sharmukhi character
カイソーン・ポムウィハーン	Kaysone Pomwihan
アリ・ダエイ	Ali Daei
フランク・マーカウスキー	Frank Murkowski
ソフト・マシーン	soft machine
ジョン・ブランチ	John Branch
長居球技場	Nagai Ballpark
ブロンズ・レコード	bronze record
イチブトゼンブ/dive	Ichibutozenbu/dive
メディナ郡 (テキサス州)	Medina County (Texas)
エスタド・ノヴォ	Estado Novo
チャーリー・ワッツ	Charlie Watts
love across the ocean	love across the ocean
アイデ・イスカンダル	Aide Iskandar
リトアニア語	Lithuanian
人民議会 (東ドイツ)	People's Assembly (East Germany)
レガ・プロ	rega pro
ヘンリー郡 (バージニア州)	Henry County, Virginia
ハル薗田	Haru Sonoda
タイガー・スタジアム	tiger stadium
ロバート・スペンサー (第2代サンダーランド伯)	Robert Spencer, 2nd Earl of Sunderland
halo: combat evolved	halo: combat evolved
クリーブランド・インディアンス	cleveland indians
ジョエル・ロバーツ・ポインセット	Joel Roberts Poinsett
ボツワナ	Botswana
タルボット郡 (メリーランド州)	Talbot County, Maryland
海南語	Hainanese
ドミニク・ウィルキンス	Dominic Wilkins
ポール・ドゥメール	Paul Doumer
マイケル・ジョーダン	Michael Jordan
ティエスト	Tiësto
マシュー・ブラックマー	Matthew Blackmer
マルコム・ターンブル	Malcolm Turnbull
セルゲイ・アレクサンドロヴィチ・ヴォルコフ	Sergei Alexandrovich Volkov
ジエゴ・カバリエリ	Diego Cavalieri
prisoner of love	prisoner of love
ダイナ・ワシントン	Dinah Washington
ブリージン	breezin
アース・ソング	earth song
ドリームス (フリートウッド・マックの曲)	Dreams (Fleetwood Mac song)
トマス・オズボーン (初代リーズ公)	Thomas Osborne (1st Duke of Leeds)
東慶悟	Higashi Keigo
オール・アイ・ウォント・イズ・ユー	All I Want Is You
ハイチ	Haiti
フランクリン・チャン＝ディアス	Franklin Chan-Dyas
アリスター・ダーリング	Alistair Darling
グレッグ・レイク	Greg Lake
(アイ・ライク) ザ・ウェイ・ユー・ラヴ・ミー	(I Like) The Way You Love Me
ジャッキー・ジャクソン	jackie jackson
マルティーヌ・オブリー	Martine Obry
k・k・ダウニング	k.k.downing
ガリシア社会主義者党	Galician Socialist Party
ヌーノ・ベッテンコート	Nuno Bettencourt
セルゲイ・ヴァヴィロフ	Sergei Vavilov
スコット・マーフィー	Scott Murphy
ロナルド・エヴァンス	Ronald Evans
ラウドン郡 (バージニア州)	Loudoun County, Virginia
ロレッタ・リン	Loretta Lynn
ヤン・フィシェル	Jan Fischel
ブリーディング・ラヴ	Bleeding Love
ヌエバ・エスパーニャ	Nueva España
チープ・トリック	cheap trick
カンバーランド郡 (ノースカロライナ州)	Cumberland County, North Carolina
静寂の世界	world of silence
ゲイラン・インターナショナルfc	geylang international fc
ゴー・レット・イット・アウト!	Go Let It Out!
パワー・オブ・ザ・ドリーム	power of the dream
ニゴライ・サアアンスン	Nigorai Saaansun
ブラッド・デルソン	Brad Delson
